1,Business Administration,2012,,
2,Textile Engineering,2013,,
3,Business Administration,2015,,
4,Computer Science & Engineering,2013,,
5,Business Administration,2010,,
6,Textile Engineering,2015,,
7,Computer Science & Engineering,2015,,
8,Law,2015,,
9,Journalism & Mass Communication,2014,,
10,Law,2015,,
11,Textile Engineering,2015,,
12,Electrical and Electronic Engineering,2017,,
13,Law,2015,,
14,Public Health,2014,,
15,Electrical and Electronic Engineering,2018,,
16,Business Administration,2018,,
17,Business Administration,2016,,
18,Computer Science & Engineering,2016,,
19,Business Administration,2014,,
20,Law,2018,,
21,Electrical and Electronic Engineering,2017,,
22,Business Administration,2017,,
23,Business Administration,2016,,
24,English,2014,,
25,Multimedia and Creative Technology,2017,,
26,Computer Science & Engineering,2018,,
27,Multimedia and Creative Technology,2018,,
28,Environmental Science and Disaster Management ,2018,,
29,Electrical and Electronic Engineering,2019,,
30,Law,2016,,
31,Law,2016,,
32,Law,2019,,
33,Business Administration,2018,,
34,Business Administration,2018,,
35,Development Studies,2018,,
36,Business Administration,2019,,
37,Law,2012,,
38,Textile Engineering,2013,,
39,Business Administration,2012,,
40,Textile Engineering,2013,,
41,Real Estate,2017,,
42,Textile Engineering,2013,,
43,Textile Engineering,2013,,
44,Textile Engineering,2013,,
45,Textile Engineering,2013,,
46,Textile Engineering,2013,,
47,Textile Engineering,2013,,
48,Nutrition and Food Engineering,2015,,
49,Business Administration,2015,,
50,Pharmacy,2017,,
51,Pharmacy,2015,,
52,Business Administration,2013,,
53,Textile Engineering,2015,,
54,Software Engineering,2017,,
55,Department of Electronics and Telecommunication Engineering,2017,,
56,Textile Engineering,2016,,
57,Business Administration,2017,,
58,Law,2017,,
59,Computer Science & Engineering,2017,,
60,Computer Science & Engineering,2018,,
61,Computer Science & Engineering,2013,,
62,Textile Engineering,2013,,
63,Textile Engineering,2013,,
64,Textile Engineering,2013,,
65,Business Administration,2013,,
66,Electrical and Electronic Engineering,2014,,
67,Electrical and Electronic Engineering,2016,,
68,Computer Science & Engineering,2016,,
69,Computer Science & Engineering,2016,,
70,Business Administration,2017,,
71,Business Administration,2017,,
72,Electrical and Electronic Engineering,2017,,
73,Multimedia and Creative Technology,2018,,
74,Business Administration,2015,,
75,Textile Engineering,2019,,
76,Law,2014,,
77,Business Administration,2017,,
78,Electrical and Electronic Engineering,2017,,
79,Business Administration,2017,,
80,Business Administration,2018,,
81,Computer Science & Engineering,2018,,
82,Textile Engineering,2018,,
83,Law,2018,,
84,Law,2016,,
85,Computer Science & Engineering,2019,,
86,Law,2019,,
87,English,2018,,
88,Business Administration,2017,,
89,Computing & Information Systems,2017,,
90,Business Administration,2018,,
91,Information Science and Library Management,2018,,
92,Computer Science & Engineering,2012,,
93,Textile Engineering,2013,,
94,Business Administration,2011,,
95,Business Administration,2014,,
96,Pharmacy,2015,,
97,Business Administration,2015,,
98,English,2015,,
99,Electrical and Electronic Engineering,2014,,
100,Computer Science & Engineering,2018,,
101,Computer Science & Engineering,2014,,
102,Computer Science & Engineering,2012,,
103,Business Administration,2015,,
104,Business Administration,2017,,
105,Business Administration,2015,,
106,Pharmacy,2017,,
107,Software Engineering,2019,,
108,Electrical and Electronic Engineering,2017,,
109,Multimedia and Creative Technology,2018,,
110,Environmental Science and Disaster Management ,2018,,
111,Multimedia and Creative Technology,2018,,
112,Electrical and Electronic Engineering,2017,,
